Survey ID,cat,polarity-roberta,polarity-ms,polarity-fb,sentence,True_label
38260221,Price,Positive,Positive,Positive,I use this for my printer. Great price!,Positive
38317821,Others,Negative,Neutral,Negative,name brands are extra expensive.,Negative
40822260,Delivery,Positive,Positive,Positive,On Time Delivery as advertised!!!!,Positive
43144819,Price,Positive,Positive,Positive,to expensive but good product,Positive
43144819,Product Quality,Positive,Positive,Positive,to expensive but good product,Positive
50598923,Price,Positive,Positive,Positive,"Great price, reliable product.",Positive
50598923,Product Quality,Positive,Positive,Positive,"Great price, reliable product.",Positive
73746308,Others,Negative,Neutral,Negative,What could possibly go wrong ???,Neutral
73746783,Price,Positive,Positive,Positive,I use this for my printer. Great price!,Positive
93843989,Price,Positive,Positive,Positive,Fast shipping and good price,Positive
94559355,Product Quality,Positive,Positive,Positive,Excellent quality and wear!,Positive
110317001,Others,Positive,Neutral,Positive,Order came very quick!,Positive
117483634,Others,Negative,Positive,Negative,Good but expensive but this is Biden' fault,Negative
118156397,Price,Positive,Positive,Positive,Great price and delivery right to my front door!,Positive
118156397,Product Quality,Positive,Positive,Positive,Great price and delivery right to my front door!,Positive
118156397,Delivery,Positive,Positive,Positive,Great price and delivery right to my front door!,Positive
177121152,Product Quality,Positive,Positive,Positive,The best quality toner out there,Positive
179787323,Price,Positive,Positive,Positive,A great deal!! I ordered 2 at one time!!,Positive
179787323,Product Quality,Positive,Positive,Positive,A great deal!! I ordered 2 at one time!!,Positive
179787323,Delivery,Positive,Positive,Positive,A great deal!! I ordered 2 at one time!!,Positive
179790933,Price,Positive,Neutral,Negative,HP product.  Prices are going up though.,Negative
181609130,Price,Positive,Positive,Positive,A little expensive. But product works great.,Negative
181609130,Product Quality,Positive,Positive,Positive,A little expensive. But product works great.,Positive
184912651,Delivery,Positive,Positive,Positive,item was as expected and delivery was on time.,Positive
215252362,Delivery,Positive,Positive,Positive,Quick ordering and delivery,Positive
216387330,Others,Positive,Positive,Positive,little pricey but happy with it.,Positive
216387332,Others,Positive,Positive,Positive,little pricey but happy with it.,Positive
245952541,Price,Positive,Positive,Positive,I use HP and happy with this ink price.,Positive
245952541,Product Quality,Positive,Positive,Positive,I use HP and happy with this ink price.,Positive
259655319,Price,Positive,Positive,Positive,Prefer HP products %26 this was reasonably priced.,Positive
259655319,Product Quality,Positive,Positive,Positive,Prefer HP products %26 this was reasonably priced.,Positive
303714726,Delivery,Positive,Positive,Positive,IT WAS FAST AND EXACTLY WHAT I ORDERED!!!!!!!!,Positive
304093877,Price,Positive,Positive,Positive,Fast service and reasonable price,Positive
304093877,Customer Service,Positive,Positive,Positive,Fast service and reasonable price,Positive
306894784,Price,Positive,Positive,Positive,Good price...fast delivery...,Positive
306894784,Product Quality,Positive,Positive,Positive,Good price...fast delivery...,Positive
306894784,Delivery,Positive,Positive,Positive,Good price...fast delivery...,Positive
311438572,Price,Positive,Positive,Positive,Great price. Fast shipping.,Positive
318922020,Delivery,Positive,Positive,Positive,this item I received ok on delivery,Positive
325404133,Delivery,Positive,Positive,Positive,"quick delivery , worked as it should",Positive
341183285,Others,Negative,Negative,Negative,both came in defective,Negative
