Survey ID,sentence,Customer Service,Delivery,Others,Price,Product Quality
101618952,Best price for good ink cartridge. Easy to install and ink is always good.,0,0,0,1,1
110317001,Order came very quick!,1,0,0,0,0
113652950,Been using this ink for years and even though it has gone up a little it's still a good price.,0,0,0,1,0
117483634,Good but expensive but this is Biden' fault,0,0,0,1,0
118156397,Great price and delivery right to my front door!,1,1,0,1,1
118297239,Satisfied with the quality of the product.  The price for these cartridges is too high in my opinion.,0,0,0,1,1
123353524,I have tried off brands and HP seems to be so much better quality of ink. And does a great printing and coping job.,0,0,0,0,1
123353644,I needed to replace both of my cartridges.. I just think the price is ridiculous for all ink cartridges,0,0,0,1,1
123354410,I like the brand of hp and the ink is always bright when you print.,0,0,0,0,1
134620903,This is a good ink. I have never had trouble with it. It is a good price.,0,0,1,0,0
135089394,Great product for everyday use. Priced lower than anywhere I could find. And curbside pickup was quick and easy.,0,0,0,1,1
144243534,And that's why I'm a returning customer! Plus it keeps me safe from the flu bugs!,1,0,0,0,1
148678811,"[This review was collected as part of a promotion.] Although this item was on backorder, it was delivered as promised by the estimated delivery date.",0,0,1,0,0
150354022,"I usually order printer ink, as I live in a rural area & it's difficult to get fresh ink. I usually have quick service ordering on line & receive it within 2-3 days. [This review was collected as part of a promotion.]",0,0,1,0,0
154440574,I have had experience with “cheaper” ink products from other distributors and had items that wouldn't print or the quality was not worthy.,0,0,0,1,1
166867246,I thought this cartridge worked as well as the cartridge I purchased in Staples which was more expense.,0,0,0,0,1
169775244,"For as long as I have had a printer it's always been an HP and nothing goes in it except genuine HP ink. I once or twice tried an ""off brand"", didn't only not compare in quality, but also didn't last nearly as long.",0,0,0,0,1
169778405,"The price of these ink cartridges was higher than what I had been using; however, my printer will accept only the HP brand.",0,0,0,1,1
172502971,I love e HP products and I really rates this incorrectly. It's all about the price and how long the ink last. Idk if recycling it is the problem or what? I believe in recycling. It's way too expensive for the older printers!!!!!,0,0,0,1,0
172502974,I love e HP products and I really rates this incorrectly. It's all about the price and how long the ink last. Idk if recycling it is the problem or what? I believe in recycling. It's way too expensive for the older printers!!!!!,0,0,0,1,0
175972673,i had to wait for it. It took an extra 3 days from when it was promised to be delivered.   Not sure why?,0,0,1,0,0
176597645,What could possibly go wrong ???,0,0,1,0,0
177121152,The best quality toner out there,0,0,0,0,1
179787323,A great deal!! I ordered 2 at one time!!,0,0,0,1,0
179790933,HP product.  Prices are going up though.,0,0,0,1,1
179936042,Best price for good ink cartridge. Easy to install and ink is always good.,0,0,0,1,1
179938562,Great product for everyday use. Priced lower than anywhere I could find. And curbside pickup was quick and easy.,0,0,0,1,1
179939097,I ordered some HP ink 932 when I saw it on sale via the web. The packages arrived a few days later.,0,0,0,0,1
180040275,I ordered it and it was delivered the next day!,1,0,0,0,0
180464154,I ordered some HP ink 932 when I saw it on sale via the web. The packages arrived a few days later.,0,0,0,0,1
180465020,The cost is significant but I don't want to enroll in the HP ink program.,0,0,0,1,0
180466928,"Price competitive with other sources, but delivery claimed to be faster. Was delivered as predicted, which greatly appreciated. The expiration date could have been a bit longer but should be ok. Product normally buy as recommended by manufacturer of machine using this product.",1,1,0,1,1
180603946,I love e HP products and I really rates this incorrectly. It's all about the price and how long the ink last. Idk if recycling it is the problem or what? I believe in recycling. It's way too expensive for the older printers!!!!!,0,0,0,1,0
180860663,I thought this cartridge worked as well as the cartridge I purchased in Staples which was more expense.,0,0,0,0,1
181443577,Box arrived damaged but the cartridges themselves were in perfect condition and worked fine,0,0,0,0,1
181444285,Ink lasts a lot longer with the xl. I print color stickers and it will last all month.,0,0,1,0,0
181602757,"Ink cartridge works well.  As expected.  Like all OEM cartridges, it is expensive, but last longer than generic",0,0,1,0,0
181603487,What could possibly go wrong ???,0,0,1,0,0
181607413,These came from Office Depot and arrived very quickly. Thank You,1,1,0,0,0
181609130,A little expensive. But product works great.,0,0,0,1,1
182380680,The black and colored ink were neither one in a box. The expiration dates are ready to expire before I can use them.,0,0,1,0,0
182795018,I thought this cartridge worked as well as the cartridge I purchased in Staples which was more expense.,0,0,0,0,1
182979040,I ordered some HP ink 932 when I saw it on sale via the web. The packages arrived a few days later.,0,0,0,0,1
184912651,item was as expected and delivery was on time.,0,0,1,0,0
184917245,it arrived as promised and i was told that it was at my door - just as ordered and promised,1,0,0,0,1
197949835,Good quality and delivery is fast.,1,1,0,0,1
215049849,My Aunt had a project on a deadline and her ink cartridge was running low. There were streaks in her printouts. I ordered the HP black ink cartridge and was able to install it and print out the rest of her documents without issue. Her project deadline was met and she was happy!,1,0,0,0,1
215051645,This ink works perfect. Especially for the price and for that quick quality print.. I highly recommend it for anyone looking for that quality print.,0,0,1,0,0
215055190,Cartridge is fine for the price,0,0,1,0,0
215252362,Quick ordering and delivery,0,1,0,0,0
215257932,Wal-Mart has excelled at fast free delivery to get my printer back in service.,1,1,0,0,1
216387330,little pricey but happy with it.,0,0,0,1,0
216387332,little pricey but happy with it.,0,0,0,1,0
223804599,The black and colored ink were neither one in a box. The expiration dates are ready to expire before I can use them.,0,0,1,0,0
233991823,Arrived on time and is very satisfied with the product thank you very much,1,1,0,0,1
