,Survey ID,Product Name,Print Customer Region,LTR,Source Type,Survey language,Review Source,Star Rating,Product Family,Supplies Family,Printer Family,Model Name,Combined Text,Ink Supply Type,token_count,Response Date,Month of Response Date,predicted_level1,nli_label
0,105970043,HP 902XL High Yield Cyan Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Makeda,,HP 902XL High Yield Cyan Original Ink Cartridge,It does what it's supposed to do.,IIC,7,2024-01-14 00:00:00,2024-01-01 00:00:00,Others,positive comment
1,110423947,HP 62 2-pack Black Original Ink Cartridges,US,2,Web Reviews,English,HP US,1.0,Supplies - Ink,Minotaur,,HP 62 2-pack Black Original Ink Cartridges,Been an HP user and customer for a long time. Last two color cartridges have not printed correctly. Followed instructions on-line and recommendations by HP. Never could get the last color cartridges to print correctly. Ran cleaner sequence twice. As last time I had to go to a well known office store to buy a color cartridge that worked.,IPH,59,2024-01-15 14:47:53,2024-01-01 00:00:00,Print quality,negative comment
2,113090221,HP 62 2-pack Black Original Ink Cartridges,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Minotaur,,HP 62 2-pack Black Original Ink Cartridges,Quality product,IPH,2,2024-01-15 14:47:52,2024-01-01 00:00:00,Others,positive comment
3,113640670,HP 61 Tri-color Original Ink Cartridge,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Pyramid Refresh,,HP 61 Tri-color Original Ink Cartridge,Works great on my Computer.,IPH,5,2024-01-16 22:47:46,2024-01-01 00:00:00,General satisfied,positive comment
4,135718870,HP 63XL High Yield Black Original Ink Cartridge,US,2,Web Reviews,English,HP US,1.0,Supplies - Ink,Dolmen Refresh,,HP 63XL High Yield Black Original Ink Cartridge,"I would NEVER, NEVER order from HP again",IPH,8,2024-01-15 14:20:46,2024-01-01 00:00:00,"Logistic Handling, Others",negative comment
5,137683141,HP 67XL High Yield Black Original Ink Cartridge,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Obelisk,,HP 67XL High Yield Black Original Ink Cartridge,Been using hp ink for years. Tried remanufactured cartridges but they just do not last as lone as a new hp.,IPH,21,2024-01-01 20:27:14,2024-01-01 00:00:00,Others,negative comment
6,148050058,HP 63 Black Original Ink Cartridge,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Dolmen Refresh,,HP 63 Black Original Ink Cartridge,Very satisfied with black ink cartridges.,IPH,6,2024-01-15 14:13:26,2024-01-01 00:00:00,Others,positive comment
7,153705330,HP 564XL High Yield Black Original Ink Cartridge,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Rohan,,HP 564XL High Yield Black Original Ink Cartridge,Excellent service,IIC,2,2024-01-17 14:57:31,2024-01-01 00:00:00,Customer experience & expectation,positive comment
8,156144729,HP 65 Black Original Ink Cartridge,US,2,Web Reviews,English,HP US,1.0,Supplies - Ink,Dolmen Refresh,,HP 65 Black Original Ink Cartridge,Never got it,IPH,3,2024-01-16 22:33:02,2024-01-01 00:00:00,Others,negative comment
9,169767307,HP 61 Tri-color Original Ink Cartridge,US,2,Web Reviews,English,HP US,1.0,Supplies - Ink,Pyramid Refresh,,HP 61 Tri-color Original Ink Cartridge,Unexpectedly very bad color.,IPH,4,2024-01-10 22:47:47,2024-01-01 00:00:00,Others,negative comment
10,175581146,HP 61 Black Original Ink Cartridge,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Pyramid Refresh,,HP 61 Black Original Ink Cartridge,Works very well,IPH,3,2024-01-28 11:16:49,2024-01-01 00:00:00,General satisfied,positive comment
11,179793265,HP 902 4-pack Black/Cyan/Magenta/Yellow Original Ink Cartridges,US,2,Web Reviews,English,Walmart,1.0,Supplies - Ink,Makeda,,HP 902 4-pack Black/Cyan/Magenta/Yellow Original Ink Cartridges,"The printer would not accept this authentic HP cartridge stating it was defective and then would not allowcme to print at all, even just black",IIC,25,2024-01-16 00:00:00,2024-01-01 00:00:00,"Print quality, Cartridge Problem, Brand Loyalty",negative comment
12,179931291,HP 902 4-pack Black/Cyan/Magenta/Yellow Original Ink Cartridges,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Makeda,,HP 902 4-pack Black/Cyan/Magenta/Yellow Original Ink Cartridges,"Walmart Delivery is great, always on time and convenient.",IIC,9,2024-01-21 00:00:00,2024-01-01 00:00:00,"General satisfied, Logistic Handling",positive comment
13,179941996,HP 902 4-pack Black/Cyan/Magenta/Yellow Original Ink Cartridges,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Makeda,,HP 902 4-pack Black/Cyan/Magenta/Yellow Original Ink Cartridges,worked well.,IIC,2,2024-01-24 00:00:00,2024-01-01 00:00:00,General satisfied,positive comment
14,179944876,HP 951 Cyan Original Ink Cartridge,US,6,Web Reviews,English,Walmart,3.0,Supplies - Ink,Nesta+,,HP 951 Cyan Original Ink Cartridge,The product is always great!  HP Inc service is poor.,IIC,10,2024-01-17 00:00:00,2024-01-01 00:00:00,"Customer experience & expectation, General satisfied",positive comment
15,179945820,HP 65 Black Original Ink Cartridge,US,2,Web Reviews,English,Walmart,1.0,Supplies - Ink,Dolmen Refresh,,HP 65 Black Original Ink Cartridge,Did  not receive my ink may I would like a receive a refund,IPH,13,2024-01-17 00:00:00,2024-01-01 00:00:00,"Logistic Handling, Instant Ink related",negative comment
16,179946058,HP 65 Black Original Ink Cartridge,US,2,Web Reviews,English,Walmart,1.0,Supplies - Ink,Dolmen Refresh,,HP 65 Black Original Ink Cartridge,Walmart charges way too much for the minimal amount of ink in them. It's cheating the public!!,IPH,17,2024-01-04 00:00:00,2024-01-01 00:00:00,Others,negative comment
17,180860670,HP 65 Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65 Black Original Ink Cartridge,Arrived the next day. I was very pleased with that because I was out of ink! Thank you,IPH,18,2024-01-16 00:00:00,2024-01-01 00:00:00,Logistic Handling,positive comment
18,181605096,HP 64 2-pack Black/Tri-color Original Ink Cartridges,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Centaur,,HP 64 2-pack Black/Tri-color Original Ink Cartridges,I've been using this ink cartridge for quite a while now.  It's little expensive but the XL size is very economical to use.  Depending how much printing jobs you do. This one lasted me about 4-5 months.,IPH,37,2024-01-14 00:00:00,2024-01-01 00:00:00,"Customer experience & expectation, Cost",positive comment
19,181607805,HP 64 2-pack Black/Tri-color Original Ink Cartridges,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Centaur,,HP 64 2-pack Black/Tri-color Original Ink Cartridges,Does what it is supposed to do . Have been using this for 5yrs %26 more. Works fine,IPH,18,2024-01-06 00:00:00,2024-01-01 00:00:00,Others,positive comment
20,183289405,HP 64 2-pack Black/Tri-color Original Ink Cartridges,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Centaur,,HP 64 2-pack Black/Tri-color Original Ink Cartridges,have an hp printer only use hp ink,IPH,8,2024-01-10 00:00:00,2024-01-01 00:00:00,Others,positive comment
21,183487536,HP 65 Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65 Black Original Ink Cartridge,HP ink works great with my printer and computer!,IPH,9,2024-01-23 00:00:00,2024-01-01 00:00:00,General satisfied,positive comment
22,190101037,HP 65 Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65 Black Original Ink Cartridge,"I had bought the 65xl~questionsed the tape on the box, was told it was aok, but  when I got home and opened it....the packs were already open and the sticky on the cartridge was off.    After spending $54 I was not about to take a chance regarding the ink.      I returned it , explained my plight, and the service rep listened and thought about it ...... I could tell....and helped me with the return. That was to me good customer service.  She needed to trust me, that I was telling her exactly what had happened and not taking advantage.",IPH,99,2024-01-12 00:00:00,2024-01-01 00:00:00,"Customer experience & expectation, Others, Instant Ink related",positive comment
23,190115776,HP 65 Black Original Ink Cartridge,US,2,Web Reviews,English,Walmart,1.0,Supplies - Ink,Dolmen Refresh,,HP 65 Black Original Ink Cartridge,"i had an HP3755 printer which needed a new cartridge. Upon installing the new one, it wouldn't print. i troubleshot every possibility with frustration. I'm thankful Walmart took it back 🙏 but I chose to trash the relatively newly used printer since it was budget friendly. I'm still looking for an ideal printer. I've used HP65 many times in the past so maybe it was just expired (?).",IPH,68,2024-01-14 00:00:00,2024-01-01 00:00:00,Printer Hardware/Printing issues,negative comment
24,193562457,HP 65 Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65 Black Original Ink Cartridge,Good product at a good price with next day delivery!,IPH,10,2024-01-28 00:00:00,2024-01-01 00:00:00,"Cost, Logistic Handling",positive comment
25,193562567,HP 65 Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65 Black Original Ink Cartridge,[This review was collected as part of a promotion.] Excellent product and excellent service. Speedy delivery.,IPH,16,2024-01-01 00:00:00,2024-01-01 00:00:00,Logistic Handling,positive comment
26,193562588,HP 65 Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65 Black Original Ink Cartridge,I would recommend to anyone that has the same type of printer,IPH,12,2024-01-04 00:00:00,2024-01-01 00:00:00,Others,positive comment
27,198944433,HP 564 3-pack Cyan/Magenta/Yellow Original Ink Cartridges,US,8,Web Reviews,English,HP US,4.0,Supplies - Ink,Rohan,,HP 564 3-pack Cyan/Magenta/Yellow Original Ink Cartridges,Just seem to last long before it needs to be refilled.,IIC,11,2024-01-17 22:19:03,2024-01-01 00:00:00,Others,negative comment
28,215048047,HP 902XL High Yield Cyan Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Makeda,,HP 902XL High Yield Cyan Original Ink Cartridge,We have never had a problem with genuine HP cartridges. Walmart shipped quickly and warranty expiry date stamped on the box was Feb 2023 for a Sept 2021 purchase.,IIC,29,2024-01-02 00:00:00,2024-01-01 00:00:00,Logistic Handling,positive comment
29,249951795,HP 951 Magenta Original Ink Cartridge,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Nesta+,,HP 951 Magenta Original Ink Cartridge,"Excellent quality, fast delivery. Very satisfied.",IIC,6,2024-01-15 12:40:13,2024-01-01 00:00:00,"General satisfied, Logistic Handling",positive comment
30,249951876,HP 902XL High Yield Black Original Ink Cartridge,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Makeda,,HP 902XL High Yield Black Original Ink Cartridge,It does what it's supposed to do.,IIC,7,2024-01-16 15:03:31,2024-01-01 00:00:00,Others,positive comment
31,249951904,HP 902 3-pack Cyan/Magenta/Yellow Original Ink Cartridges,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Makeda,,HP 902 3-pack Cyan/Magenta/Yellow Original Ink Cartridges,Excellent service. Très rapide,IIC,4,2024-01-09 21:16:04,2024-01-01 00:00:00,Others,positive comment
32,249951917,HP 910 Black Original Ink Cartridge,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Cedella,,HP 910 Black Original Ink Cartridge,Very satisfied,IIC,2,2024-01-05 19:46:23,2024-01-01 00:00:00,Others,positive comment
33,249956338,HP 952XL High Yield Cyan Original Ink Cartridge,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Supernesta,,HP 952XL High Yield Cyan Original Ink Cartridge,"All HP ink cartridges are quality product however, they are too overpriced.",IIC,12,2024-01-22 08:22:51,2024-01-01 00:00:00,Brand Loyalty,negative comment
34,249956887,HP 910 Black Original Ink Cartridge,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Cedella,,HP 910 Black Original Ink Cartridge,This ink cartridge gives me good-quality print. Is easy to install.,IIC,11,2024-01-05 19:46:23,2024-01-01 00:00:00,Customer experience & expectation,positive comment
35,249964772,HP 910XL High Yield Magenta Original Ink Cartridge,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Cedella,,HP 910XL High Yield Magenta Original Ink Cartridge,Very satisfied,IIC,2,2024-01-15 11:06:47,2024-01-01 00:00:00,Others,positive comment
36,250222237,HP 962 3-pack Cyan/Magenta/Yellow Original Ink Cartridges,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Magnus,,HP 962 3-pack Cyan/Magenta/Yellow Original Ink Cartridges,My HP Series 9010 Inkjet Printer produces the finest photographic images using HP Ink Cartridges.,IIC,15,2024-01-15 15:36:47,2024-01-01 00:00:00,Others,positive comment
37,250222296,HP 67XL High Yield Tri-color Original Ink Cartridge,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Obelisk,,HP 67XL High Yield Tri-color Original Ink Cartridge,Great Procuct,IPH,2,2024-01-20 16:07:40,2024-01-01 00:00:00,General satisfied,positive comment
38,250222355,HP 64XL High Yield Black Original Ink Cartridge,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Centaur,,HP 64XL High Yield Black Original Ink Cartridge,This cartridge works fine,IPH,4,2024-01-15 13:30:42,2024-01-01 00:00:00,Others,positive comment
39,250224083,HP 64XL High Yield Black Original Ink Cartridge,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Centaur,,HP 64XL High Yield Black Original Ink Cartridge,It does the job for which it was purchased.,IPH,9,2024-01-15 13:30:42,2024-01-01 00:00:00,Others,positive comment
40,250227912,HP 67XL High Yield Tri-color Original Ink Cartridge,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Obelisk,,HP 67XL High Yield Tri-color Original Ink Cartridge,"Only use HP ink, nothing else works",IPH,7,2024-01-04 16:07:56,2024-01-01 00:00:00,General satisfied,negative comment
41,250227986,HP 951 Yellow Original Ink Cartridge,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Nesta+,,HP 951 Yellow Original Ink Cartridge,"Excellent product, great service. Very satisfied",IIC,6,2024-01-10 19:00:11,2024-01-01 00:00:00,General satisfied,positive comment
42,250228030,HP 952XL High Yield Black Original Ink Cartridge,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Supernesta,,HP 952XL High Yield Black Original Ink Cartridge,I like the larger Blank ink cartridge,IIC,7,2024-01-18 10:03:47,2024-01-01 00:00:00,Others,positive comment
