,Survey ID,Product Name,Print Customer Region,LTR,Source Type,Survey language,Review Source,Star Rating,Product Family,Supplies Family,Printer Family,Model Name,Combined Text,Ink Supply Type,token_count,Response Date,Month of Response Date,predicted_level1,nli_label
0,110020182,HP 63 Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 63 Black Original Ink Cartridge,"Excllent quality; easy to order, received promptly.",IPH,7,2024-04-01 01:00:00,2024-04-01 00:00:00,"Logistic Handling, General satisfied",positive comment
1,123460320,HP 65XL Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65XL Black Original Ink Cartridge,Great price and arrived even earlier than stated.,IPH,8,2024-04-01 01:00:00,2024-04-01 00:00:00,Logistic Handling,positive comment
2,132417974,HP 65XL Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65XL Black Original Ink Cartridge,"Ink gets used up way to quickly for the price charged for these cartridges, but I don't believe you'll find anything that is much different in that regard. While the ink is present it does a nice job of printing.",IPH,40,2024-04-06 01:00:00,2024-04-01 00:00:00,Others,positive comment
3,133472112,HP 64XL High Yield Tri-color Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Centaur,,HP 64XL High Yield Tri-color Original Ink Cartridge,"Price competitive with other sources, but delivery claimed to be faster. Was delivered as predicted, which greatly appreciated. The expiration date could have been a bit longer but should be ok. Product normally buy as recommended by manufacturer of machine using this product.",IPH,43,2024-04-03 01:00:00,2024-04-01 00:00:00,"Cost, Customer experience & expectation, Logistic Handling",positive comment
4,134550233,HP 65XL Black Original Ink Cartridge,US,2,Web Reviews,English,Walmart,1.0,Supplies - Ink,Dolmen Refresh,,HP 65XL Black Original Ink Cartridge,Don't know. Never received my order,IPH,6,2024-04-05 01:00:00,2024-04-01 00:00:00,Logistic Handling,neutral comment
5,134626563,HP 65XL Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65XL Black Original Ink Cartridge,[This review was collected as part of a promotion.] The HP cartridge has lasted longer than any black ink cartridge that I normally purchase,IPH,24,2024-04-08 01:00:00,2024-04-01 00:00:00,"Customer experience & expectation, Print quality",positive comment
6,156247650,HP 65XL Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65XL Black Original Ink Cartridge,The item was what I was looking for and I love the walmart service,IPH,14,2024-04-03 01:00:00,2024-04-01 00:00:00,Others,positive comment
7,172491173,HP 65XL Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65XL Black Original Ink Cartridge,I am so pleased with the supply of ink in this small cartridge. It's so much better than ordering the regular cartridge more often.,IPH,24,2024-04-10 01:00:00,2024-04-01 00:00:00,Cartridge Problem,positive comment
8,172497739,HP 61XL High Yield Tri-color Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Pyramid Refresh,,HP 61XL High Yield Tri-color Original Ink Cartridge,Great price for an item I use all the time,IPH,10,2024-04-05 01:00:00,2024-04-01 00:00:00,Cost,positive comment
9,181443054,HP 61XL High Yield Tri-color Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Pyramid Refresh,,HP 61XL High Yield Tri-color Original Ink Cartridge,i have never had a problem with this product,IPH,9,2024-04-08 01:00:00,2024-04-01 00:00:00,Others,positive comment
