Survey ID,Product Name,Print Customer Region,LTR,Source Type,Survey language,Review Source,Star Rating,Product Family,Supplies Family,Printer Family,Model Name,Combined Text,Ink Supply Type,token_count,Month of Response Date,predicted_level1,predicted_probabilities,predicted_aspect,max_predicted_probability,max_predicted_aspect,0,Aspect 1,Aspect 2,Aspect 3,Aspect 4,Output Labels,Label Vectors,Predicted Labels
101618952,HP 63 Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 63 Black Original Ink Cartridge,Best price for good ink cartridge. Easy to install and ink is always good.,Home-based Printer Ink,14,Mar-24,"General satisfied, Customer experience & expectation, Cost, Instant Ink related","['0.9545308853039473', '0.723', '0.8642301723817425', '0.8865005633281231']","0, Customer Service, Price, 0",0.954530885,0,,Customer Service,,Price,,"['Customer Service', 'Price']","[0, 0, 1, 1]","['Price', 'Customer Service']"
110317001,HP 63XL High Yield Black Original Ink Cartridge,US,10,Web Reviews,English,HP US,5.0,Supplies - Ink,Dolmen Refresh,,HP 63XL High Yield Black Original Ink Cartridge,Order came very quick!,Home-based Printer Ink,4,Mar-24,Logistic Handling,['0.7661992500865553'],Delivery,0.76619925,Delivery,,,Delivery,,,['Delivery'],"[1, 0, 0, 0]",['Delivery']
113652950,HP 63 Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 63 Black Original Ink Cartridge,Been using this ink for years and even though it has gone up a little it's still a good price.,Home-based Printer Ink,20,Mar-24,Cost,['0.8092836790024567'],Price,0.809283679,Price,,,,Price,,['Price'],"[0, 0, 1, 0]",['Price']
117483634,HP 65XL Tri-color Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65XL Tri-color Original Ink Cartridge,Good but expensive but this is Biden' fault,Home-based Printer Ink,8,Mar-24,Cost,['0.7807027080517868'],Price,0.780702708,Price,,,,Price,,['Price'],"[0, 0, 1, 0]",['Price']
118156397,HP 951XL 3-pack High Yield Cyan/Magenta/Yellow Original Ink Cartridges,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Nesta+,,HP 951XL 3-pack High Yield Cyan/Magenta/Yellow Original Ink Cartridges,Great price and delivery right to my front door!,Office Printer Ink,9,Mar-24,Logistic Handling,['0.8071808375184342'],Delivery,0.807180838,Delivery,,,Delivery,,,['Delivery'],"[1, 0, 0, 0]",['Delivery']
118297239,HP 952XL High Yield Magenta Original Ink Cartridge,US,8,Web Reviews,English,Walmart,4.0,Supplies - Ink,Supernesta,,HP 952XL High Yield Magenta Original Ink Cartridge,Satisfied with the quality of the product.  The price for these cartridges is too high in my opinion.,Office Printer Ink,18,Mar-24,"Cost, Brand Loyalty","['0.8130954878569768', '0.7600897102897102']","Price, 0",0.813095488,Price,0.0,,,Price,,['Price'],"[0, 0, 1, 0]","['Product Quality', 'Price']"
123353524,HP 65 2-pack Black/Tri-color Original Ink Cartridges,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65 2-pack Black/Tri-color Original Ink Cartridges,I have tried off brands and HP seems to be so much better quality of ink. And does a great printing and coping job.,Home-based Printer Ink,24,Mar-24,"Print quality, Instant Ink related, General satisfied","['0.8129766478508941', '0.86124026537961', '0.8875086145465463']","Product Quality, 0, 0",0.887508615,0,,,,,Product Quality,['Product Quality'],"[0, 1, 0, 0]",['Product Quality']
123353644,HP 65 2-pack Black/Tri-color Original Ink Cartridges,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65 2-pack Black/Tri-color Original Ink Cartridges,I needed to replace both of my cartridges.. I just think the price is ridiculous for all ink cartridges,Home-based Printer Ink,19,Mar-24,Cost,['0.8202691571690253'],Price,0.820269157,Price,,,,Price,,['Price'],"[0, 0, 1, 0]",['Price']
123354410,HP 65 2-pack Black/Tri-color Original Ink Cartridges,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65 2-pack Black/Tri-color Original Ink Cartridges,I like the brand of hp and the ink is always bright when you print.,Home-based Printer Ink,15,Mar-24,Print quality,['0.7124707852739702'],Product Quality,0.712470785,Product Quality,,,,,Product Quality,['Product Quality'],"[0, 1, 0, 0]",['Product Quality']
134620903,HP 65 Tri-color Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65 Tri-color Original Ink Cartridge,This is a good ink. I have never had trouble with it. It is a good price.,Home-based Printer Ink,17,Mar-24,"Instant Ink related, Cost, General satisfied","['0.7731090665649408', '0.7983197962210382', '0.7529008250736126']","0, Price, 0",0.798319796,Price,,,,Price,,['Price'],"[0, 0, 1, 0]",['Price']
135089394,HP 63 Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 63 Black Original Ink Cartridge,Great product for everyday use. Priced lower than anywhere I could find. And curbside pickup was quick and easy.,Home-based Printer Ink,19,Mar-24,Cost,['0.714235173657379'],Price,0.714235174,Price,,,,Price,,['Price'],"[0, 0, 1, 0]",['Price']
144243534,HP 65XL Tri-color Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65XL Tri-color Original Ink Cartridge,And that's why I'm a returning customer! Plus it keeps me safe from the flu bugs!,Home-based Printer Ink,16,Mar-24,Logistic Handling,['0.7538913192598427'],Delivery,0.753891319,Delivery,,,Delivery,,,['Delivery'],"[1, 0, 0, 0]",['Delivery']
148678811,HP 902 Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Makeda,,HP 902 Black Original Ink Cartridge,"[This review was collected as part of a promotion.] Although this item was on backorder, it was delivered as promised by the estimated delivery date.",Office Printer Ink,25,Mar-24,Logistic Handling,['0.8275347939561788'],Delivery,0.827534794,Delivery,,,Delivery,,,['Delivery'],"[1, 0, 0, 0]",['Delivery']
150354022,HP 902 4-pack Black/Cyan/Magenta/Yellow Original Ink Cartridges,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Makeda,,HP 902 4-pack Black/Cyan/Magenta/Yellow Original Ink Cartridges,"I usually order printer ink, as I live in a rural area & it's difficult to get fresh ink. I usually have quick service ordering on line & receive it within 2-3 days. [This review was collected as part of a promotion.]",Office Printer Ink,42,Mar-24,"Customer experience & expectation, Logistic Handling","['0.7499939307881569', '0.810337956074845']","Customer Service, Delivery",0.810337956,Delivery,,Customer Service,Delivery,,,"['Customer Service', 'Delivery']","[1, 0, 0, 1]","['Delivery', 'Customer Service']"
154440574,HP 62 2-pack Black Original Ink Cartridges,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Minotaur,,HP 62 2-pack Black Original Ink Cartridges,I have had experience with “cheaper” ink products from other distributors and had items that wouldn't print or the quality was not worthy.,Home-based Printer Ink,23,Mar-24,"Print quality, Brand Loyalty, Brand Loyalty","['0.7754582448954194', '0.7534380952380954', '0.7442959742871508']","Product Quality, 0, 0",0.775458245,Product Quality,,,,,Product Quality,['Product Quality'],"[0, 1, 0, 0]",['Product Quality']
166867246,HP 65XL Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65XL Black Original Ink Cartridge,I thought this cartridge worked as well as the cartridge I purchased in Staples which was more expense.,Home-based Printer Ink,18,Mar-24,"Cost, Brand Loyalty","['0.7793957514721663', '0.7455768675768675']","Price, 0",0.779395751,Price,0.0,,,Price,,['Price'],"[0, 0, 1, 0]",['Price']
169775244,HP 63 Tri-color Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 63 Tri-color Original Ink Cartridge,"For as long as I have had a printer it's always been an HP and nothing goes in it except genuine HP ink. I once or twice tried an ""off brand"", didn't only not compare in quality, but also didn't last nearly as long.",Home-based Printer Ink,44,Mar-24,Customer experience & expectation,['0.7872941526807185'],Customer Service,0.787294153,Customer Service,,Customer Service,,,,['Customer Service'],"[0, 0, 0, 1]",['Customer Service']
169778405,HP 61XL High Yield Tri-color Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Pyramid Refresh,,HP 61XL High Yield Tri-color Original Ink Cartridge,"The price of these ink cartridges was higher than what I had been using; however, my printer will accept only the HP brand.",Home-based Printer Ink,23,Mar-24,"Cost, Customer experience & expectation","['0.8258096688301884', '0.7061514145984736']","Price, Customer Service",0.825809669,Price,,Customer Service,,Price,,"['Customer Service', 'Price']","[0, 0, 1, 1]",['Price']
172502971,HP 61 Tri-color Original Ink Cartridge,US,8,Web Reviews,English,Walmart,4.0,Supplies - Ink,Pyramid Refresh,,HP 61 Tri-color Original Ink Cartridge,I love e HP products and I really rates this incorrectly. It's all about the price and how long the ink last. Idk if recycling it is the problem or what? I believe in recycling. It's way too expensive for the older printers!!!!!,Home-based Printer Ink,43,Mar-24,Cost,['0.8846733489692796'],Price,0.884673349,Price,,,,Price,,['Price'],"[0, 0, 1, 0]",['Price']
