sentence,polarity,Survey ID,cat,SVM_Predicted,NB_Predicted
Best price for good ink cartridge. Easy to install and ink is always good.,Positive,101618952,Price,Positive,Positive
Best price for good ink cartridge. Easy to install and ink is always good.,Positive,101618952,Product Quality,Positive,Positive
Order came very quick!,Positive,110317001,Customer Service,Positive,Positive
Been using this ink for years and even though it has gone up a little it's still a good price.,Positive,113652950,Price,Positive,Positive
Good but expensive but this is Biden' fault,Negative,117483634,Price,Negative,Positive
Great price and delivery right to my front door!,Positive,118156397,Price,Positive,Positive
Great price and delivery right to my front door!,Positive,118156397,Product Quality,Positive,Positive
Great price and delivery right to my front door!,Positive,118156397,Customer Service,Positive,Positive
Great price and delivery right to my front door!,Positive,118156397,Delivery,Positive,Positive
Satisfied with the quality of the product.  The price for these cartridges is too high in my opinion.,Positive,118297239,Price,Positive,Positive
Satisfied with the quality of the product.  The price for these cartridges is too high in my opinion.,Positive,118297239,Product Quality,Positive,Positive
I have tried off brands and HP seems to be so much better quality of ink. And does a great printing and coping job.,Positive,123353524,Product Quality,Positive,Positive
I needed to replace both of my cartridges.. I just think the price is ridiculous for all ink cartridges,Negative,123353644,Price,Positive,Positive
I needed to replace both of my cartridges.. I just think the price is ridiculous for all ink cartridges,Negative,123353644,Product Quality,Positive,Positive
I like the brand of hp and the ink is always bright when you print.,Positive,123354410,Product Quality,Positive,Positive
This is a good ink. I have never had trouble with it. It is a good price.,Positive,134620903,Others,Negative,Positive
Great product for everyday use. Priced lower than anywhere I could find. And curbside pickup was quick and easy.,Positive,135089394,Price,Positive,Positive
Great product for everyday use. Priced lower than anywhere I could find. And curbside pickup was quick and easy.,Positive,135089394,Product Quality,Positive,Positive
And that's why I'm a returning customer! Plus it keeps me safe from the flu bugs!,Positive,144243534,Product Quality,Positive,Negative
And that's why I'm a returning customer! Plus it keeps me safe from the flu bugs!,Positive,144243534,Customer Service,Positive,Negative
"[This review was collected as part of a promotion.] Although this item was on backorder, it was delivered as promised by the estimated delivery date.",Positive,148678811,Others,Positive,Positive
"I usually order printer ink, as I live in a rural area & it's difficult to get fresh ink. I usually have quick service ordering on line & receive it within 2-3 days. [This review was collected as part of a promotion.]",Positive,150354022,Others,Negative,Negative
I have had experience with “cheaper” ink products from other distributors and had items that wouldn't print or the quality was not worthy.,Negative,154440574,Price,Negative,Positive
I have had experience with “cheaper” ink products from other distributors and had items that wouldn't print or the quality was not worthy.,Negative,154440574,Product Quality,Negative,Positive
I thought this cartridge worked as well as the cartridge I purchased in Staples which was more expense.,Positive,166867246,Product Quality,Positive,Positive
"For as long as I have had a printer it's always been an HP and nothing goes in it except genuine HP ink. I once or twice tried an ""off brand"", didn't only not compare in quality, but also didn't last nearly as long.",Positive,169775244,Product Quality,Positive,Positive
"The price of these ink cartridges was higher than what I had been using; however, my printer will accept only the HP brand.",Negative,169778405,Price,Positive,Positive
"The price of these ink cartridges was higher than what I had been using; however, my printer will accept only the HP brand.",Negative,169778405,Product Quality,Positive,Positive
I love e HP products and I really rates this incorrectly. It's all about the price and how long the ink last. Idk if recycling it is the problem or what? I believe in recycling. It's way too expensive for the older printers!!!!!,Negative,172502971,Price,Positive,Positive
I love e HP products and I really rates this incorrectly. It's all about the price and how long the ink last. Idk if recycling it is the problem or what? I believe in recycling. It's way too expensive for the older printers!!!!!,Negative,172502974,Price,Positive,Positive
i had to wait for it. It took an extra 3 days from when it was promised to be delivered.   Not sure why?,Negative,175972673,Others,Negative,Positive
What could possibly go wrong ???,Negative,176597645,Others,Positive,Positive
The best quality toner out there,Positive,177121152,Product Quality,Positive,Positive
A great deal!! I ordered 2 at one time!!,Positive,179787323,Price,Positive,Positive
HP product.  Prices are going up though.,Negative,179790933,Price,Positive,Positive
HP product.  Prices are going up though.,Negative,179790933,Product Quality,Positive,Positive
Best price for good ink cartridge. Easy to install and ink is always good.,Positive,179936042,Price,Positive,Positive
Best price for good ink cartridge. Easy to install and ink is always good.,Positive,179936042,Product Quality,Positive,Positive
Great product for everyday use. Priced lower than anywhere I could find. And curbside pickup was quick and easy.,Positive,179938562,Price,Positive,Positive
Great product for everyday use. Priced lower than anywhere I could find. And curbside pickup was quick and easy.,Positive,179938562,Product Quality,Positive,Positive
I ordered some HP ink 932 when I saw it on sale via the web. The packages arrived a few days later.,Positive,179939097,Product Quality,Positive,Positive
I ordered it and it was delivered the next day!,Positive,180040275,Customer Service,Positive,Positive
I ordered some HP ink 932 when I saw it on sale via the web. The packages arrived a few days later.,Positive,180464154,Product Quality,Positive,Positive
The cost is significant but I don't want to enroll in the HP ink program.,Negative,180465020,Price,Negative,Negative
