Survey ID,Product Name,Print Customer Region,LTR,Source Type,Survey language,Review Source,Star Rating,Product Family,Supplies Family,Printer Family,Model Name,Combined Text,Ink Supply Type,token_count,Month of Response Date,predicted_level1,predicted_probabilities,predicted_aspect,max_predicted_probability,max_predicted_aspect,0,Aspect 1,Aspect 2,Aspect 3,Aspect 4,Output Labels,Label Vectors,Predicted Labels
110020182,HP 63 Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 63 Black Original Ink Cartridge,"Excllent quality; easy to order, received promptly.",Home-based Printer Ink,7,Apr-24,"Logistic Handling, General satisfied","['0.8352197918762199', '0.7786848755893012']","Delivery, 0",0.835219792,Delivery,0.0,,Delivery,,,['Delivery'],"[1, 0, 0, 0]",['Delivery']
123460320,HP 65XL Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65XL Black Original Ink Cartridge,Great price and arrived even earlier than stated.,Home-based Printer Ink,8,Apr-24,Logistic Handling,['0.7908739113381595'],Delivery,0.790873911,Delivery,,,Delivery,,,['Delivery'],"[1, 0, 0, 0]",['Delivery']
133472112,HP 64XL High Yield Tri-color Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Centaur,,HP 64XL High Yield Tri-color Original Ink Cartridge,"Price competitive with other sources, but delivery claimed to be faster. Was delivered as predicted, which greatly appreciated. The expiration date could have been a bit longer but should be ok. Product normally buy as recommended by manufacturer of machine using this product.",Home-based Printer Ink,43,Apr-24,"Logistic Handling, Customer experience & expectation, Cost","['0.8070593486001005', '0.7121404761904764', '0.7706731637061431']","Delivery, Customer Service, Price",0.807059349,Delivery,,Customer Service,Delivery,Price,,"['Customer Service', 'Delivery', 'Price']","[1, 0, 1, 1]","['Delivery', 'Price']"
134626563,HP 65XL Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65XL Black Original Ink Cartridge,[This review was collected as part of a promotion.] The HP cartridge has lasted longer than any black ink cartridge that I normally purchase,Home-based Printer Ink,24,Apr-24,"Customer experience & expectation, Print quality","['0.7097935292855333', '0.761109698797934']","Customer Service, Product Quality",0.761109699,Product Quality,,Customer Service,,,Product Quality,"['Customer Service', 'Product Quality']","[0, 1, 0, 1]","['Product Quality', 'Customer Service']"
172491173,HP 65XL Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65XL Black Original Ink Cartridge,I am so pleased with the supply of ink in this small cartridge. It's so much better than ordering the regular cartridge more often.,Home-based Printer Ink,24,Apr-24,Cartridge Problem,['0.7133459591878705'],Product Quality,0.713345959,Product Quality,,,,,Product Quality,['Product Quality'],"[0, 1, 0, 0]",['Customer Service']
172497739,HP 61XL High Yield Tri-color Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Pyramid Refresh,,HP 61XL High Yield Tri-color Original Ink Cartridge,Great price for an item I use all the time,Home-based Printer Ink,10,Apr-24,Cost,['0.7996413422048901'],Price,0.799641342,Price,,,,Price,,['Price'],"[0, 0, 1, 0]",['Price']
181601745,HP 65XL Tri-color Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65XL Tri-color Original Ink Cartridge,Received the proper ink I ordered even faster than expected. It appears to be fresh and prints just fine as expected. Will order again.,Home-based Printer Ink,24,Apr-24,Logistic Handling,['0.7722482068064948'],Delivery,0.772248207,Delivery,,,Delivery,,,['Delivery'],"[1, 0, 0, 0]",['Delivery']
182986266,HP 65XL Tri-color Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65XL Tri-color Original Ink Cartridge,I am so pleased with the supply of ink in this small cartridge. It's so much better than ordering the regular cartridge more often.,Home-based Printer Ink,24,Apr-24,Cartridge Problem,['0.7133459591878705'],Product Quality,0.713345959,Product Quality,,,,,Product Quality,['Product Quality'],"[0, 1, 0, 0]",['Customer Service']
183006613,HP 64XL High Yield Tri-color Original Ink Cartridge,US,8,Web Reviews,English,Walmart,4.0,Supplies - Ink,Centaur,,HP 64XL High Yield Tri-color Original Ink Cartridge,little pricey but happy with it.,Home-based Printer Ink,6,Apr-24,"Cost, Others","['0.7699971120291004', '0.7204523284569905']","Price, 0",0.769997112,Price,0.0,,,Price,,['Price'],"[0, 0, 1, 0]",['Price']
245962716,HP 65XL Black Original Ink Cartridge,US,10,Web Reviews,English,Walmart,5.0,Supplies - Ink,Dolmen Refresh,,HP 65XL Black Original Ink Cartridge,Good product. No less expensive substitute available. Must always have ink backup for printer.,Home-based Printer Ink,14,Apr-24,Cost,['0.935159834444992'],Price,0.935159834,Price,,,,Price,,['Price'],"[0, 0, 1, 0]",['Price']
