Survey ID,Product Name,Print Customer Region,LTR,Source Type,Survey language,Review Source,Star Rating,Product Family,Supplies Family,Printer Family,Model Name,Combined Text,Ink Supply Type,token_count,Response Date,Month of Response Date,predicted_level1,NLTK_Vader_Sentiment,TextBlob_NaiveBayes_Sentiment,TextBlob_Sentiment
332504286,HP DeskJet Ink Advantage 2774 All-in-One Printer,BR,8,HPS Surveys,Portuguese (Brazil),,,Supplies - Ink,Obelisk,Taccola,HP DeskJet Ink Advantage 2779 All-in-One Printer,"Because I have some difficulties to use it and even with little ink I didn't print, even the cartridge still has ink, I think it's a waste.",IPH,27,2023-08-22 04:35:21,2023-08-01 00:00:00,Customer experience & expectation,-0.6124,pos,-0.19375
335441755,HP 951XL High Yield Yellow Original Ink Cartridge,US,10,Web Reviews,English,Office Depot,5.0,Supplies - Ink,Nesta+,,HP 951XL High Yield Yellow Original Ink Cartridge,Bought a few weeks ago. Easy to install. Excellent quality,IIC,10,2023-08-23 17:24:50,2023-08-01 00:00:00,General satisfied,0.765,pos,0.41111111111111115
355168008,HP 952XL High Yield Black Original Ink Cartridge,US,10,Web Reviews,English,Office Depot,5.0,Supplies - Ink,Supernesta,,HP 952XL High Yield Black Original Ink Cartridge,Only recommend original HP ink! Best ink!,IIC,7,2023-12-19 13:07:20,2023-12-01 00:00:00,Others,0.8619,pos,0.4895833333333333
347332806,HP ENVY 6055e All-in-One Printer,US,1,HPS Surveys,English,,,Supplies - Ink,Obelisk,Vasari Yeti,HP ENVY 6055e All-in-One Printer,"IT was fine until it wasn't. The copies were great, but the printer became useless. My tech man concluded it was a faulty printer. I lost over $100.00 in reserve cartridges and trashed the printer. It worked for approximately a year . Very disappointed.",IPH,44,2023-11-14 19:04:26,2023-11-01 00:00:00,Cartridge Problem,-0.905,neg,-0.13166666666666665
342918354,HP ENVY Photo 7155 All-in-One Printer,US,1,HPS Surveys,English,,,Supplies - Ink,Centaur,Palermo,HP ENVY Photo 7155 All-in-One Printer,The HP Ink service has charged me on 2 different bank cards for 2 different ink plans for 1 printer for over a year. And then when i tried to get it straightened out no one could find the hp accounts or how 2 cards were being charged and then closed the case without ever refunding me or fixing the issue. I provided proof of each charge and was told i hadnt.,IPH,72,2023-10-20 22:16:18,2023-10-01 00:00:00,Customer experience & expectation,-0.5859,neg,-0.03333333333333333
329531939,HP ENVY 5055 All-in-One Printer,US,1,HPS Surveys,English,,,Supplies - Ink,Dolmen Refresh,Verona,HP ENVY 5055 All-in-One Printer,I disliked that I had to order cartridges from you and only could use your ink. I believe the printer would lock up. It is an inconvenience. It should be my choice whether I want to purchase ink replacement from the store ir have it delivered. It felt like you all owned the printer rather me me.,IPH,57,2023-08-07 09:55:38,2023-08-01 00:00:00,"Cartridge Problem, Customer experience & expectation, Instant Ink related",-0.34,pos,-0.1
334809557,HP 63XL High Yield Black Original Ink Cartridge,US,10,Web Reviews,English,Office Depot,5.0,Supplies - Ink,Dolmen Refresh,,HP 63XL High Yield Black Original Ink Cartridge,"the HP XL sizes of ink work well for value of money. My printer uses HP 63XL, and this is always in stock at Office Depot. I also recycle old cartridges through Office Depot--which makes everything more sustainable.",IPH,38,2023-08-30 03:23:22,2023-08-01 00:00:00,Others,0.5423,pos,0.3
334882048,HP DeskJet 2721e All-in-One Printer,ES,10,HPS Surveys,English,,,Supplies - Ink,Obelisk,Taccola Yeti,HP DeskJet 2721e All-in-One Printer,It is excellent practice as none does its job super well I never had a print of this brand but now I will only want this one for its quality price and then the discount of the ink cartridges that is not equaled by any brand I recommend it 100 percent.,IPH,51,2023-09-01 00:57:55,2023-09-01 00:00:00,"Cost, Print quality",0.8422,pos,0.4444444444444444
324751077,HP OfficeJet Pro 8710 All-in-One Printer,BE,10,HPS Surveys,French,,,Supplies - Ink,Supernesta,Weber,HP OfficeJet Pro 8710 All-in-One Printer,Very practical instant ink system,IIC,5,2023-07-13 23:55:36,2023-07-01 00:00:00,Instant Ink related,0.0,pos,0.1
324748553,HP DeskJet 4155e All-in-One Printer,US,5,HPS Surveys,English,,,Supplies - Ink,Obelisk,Taccola Yeti,HP DeskJet 4155e All-in-One Printer,There always an issue either ink run out quicker or the software has way to many issue.  The website needs to be streamlined as well. To make it simpler and easier to know what applications apply to your printer,IPH,39,2023-07-11 15:53:50,2023-07-01 00:00:00,"Instant Ink related, Customer experience & expectation, General satisfied",0.5994,pos,0.5
358017917,HP ENVY Photo 7858 All-in-One Printer,US,4,HPS Surveys,English,,,Supplies - Ink,Centaur,Palermo,HP ENVY Photo 7858 All-in-One Printer,"This has been a very disappointing experience with HP printers. This one has not ever given me a true to color picture. There is a problem with the rollers and with the color I need to have it replaced, and I truly do love the ink program, and the people who take care of me when I call with a problem. So this has been holding me back and regards to which type of printer shall I replace this one with. It needs to be replaced. I simply am not sure what to replace it with. I am very grateful for your wanting my survey opinion. Thank you. You may reach me by email or phone call 843-497-0345. Email mcharron@sc.rr.com.",IPH,120,2024-01-19 14:46:09,2024-01-01 00:00:00,"Customer experience & expectation, Others",0.8457,pos,0.003333333333333327
380326911,HP DeskJet 2710e All-in-One Printer,GB,6,HPS Surveys,English,,,Supplies - Ink,Obelisk,Taccola Yeti,HP DeskJet 2710e All-in-One Printer,Don't like how I am held to ransom with printer inks,IPH,11,2024-04-14 06:44:20,2024-04-01 00:00:00,Others,-0.2755,pos,0.0
332183925,HP 64 Tri-color Original Ink Cartridge,US,10,Web Reviews,English,Office Depot,5.0,Supplies - Ink,Centaur,,HP 64 Tri-color Original Ink Cartridge,Hp 64 is what my printer requires and it is always dependablel.,IPH,12,2023-08-08 11:48:37,2023-08-01 00:00:00,Others,0.0,pos,0.0
345669991,HP OfficeJet Pro 9010 series,US,0,HPS Surveys,English,,,Supplies - Ink,Magnus,Manhattan Yeti,HP OfficeJet Pro 9015e All-in-One Printer,"My printer had an issue with the print head. My ink levels showed to be about 1/4 full. The tech would not do anything , and stalled until I agreed to sign up for ""free ink"" They then changed a lot of stuff on my computer that I had to change back before my shipping programs would print again. My computer and printer are now basically controlled by HP, and my printer will not work unless I use their ink. They finally decided to send a new print head that I have to install myself, and hope it works. They have made my business printer useless for about 2 weeks.  They also ""worked"" on my printer remotely for at least 2 hours while I had to sit there and wait. Total customer service fail.",IIC,134,2023-11-02 11:13:21,2023-11-01 00:00:00,"Printer Hardware/Printing issues, Customer experience & expectation, Instant Ink related, Cartridge Problem",-0.0164,pos,-0.05136363636363637
322053129,ENVY 6000 All-in-One Printer series,GB,8,HPS Surveys,English,,,Supplies - Ink,OBELISK,Vasari Yeti,HP ENVY 6020e All-in-One Printer,find printer quite attractive work well far reasonably price also relevant printer replacement ink comparatively price,,16,2023-06-22 09:14:59,2023-06-01 00:00:00,"Cost, General satisfied",0.6764,pos,0.375
369466014,HP 951XL High Yield Magenta Original Ink Cartridge,GB,2,Web Reviews,English,Amazon UK,1.0,Supplies - Ink,Nesta+,,HP 951XL High Yield Magenta Original Ink Cartridge,"The ink cartridge supplied was dated 2015, 9 years out of date. Outer date was concealed by added sticker.",IIC,19,2024-02-23 00:00:00,2024-02-01 00:00:00,Logistic Handling,0.0,pos,0.0
357182993,HP OfficeJet Pro 9018e All-in-One Printer,US,8,HPS Surveys,English,,,Supplies - Ink,Magnus,Manhattan Yeti,HP OfficeJet Pro 9018e All-in-One Printer,"The printer served me well until the ink cartridge carrier jammed.  I was sent a refurbished replacement but had to take the old printer to FedEx myself because HP would not pay for a pickup.  Left a bad taste in my mouth.  The printer jamming was not my fault, but I got the feeling that your people thought it was.",IIC,60,2024-01-08 09:34:40,2024-01-01 00:00:00,Others,-0.0307,neg,-0.17499999999999996
369466100,HP 302 Black Original Ink Cartridge,GB,2,Web Reviews,English,Amazon UK,1.0,Supplies - Ink,Dolmen Refresh,,HP 302 Black Original Ink Cartridge,"I bought this cartridge and needed to use it today only to find that it is a dud ... no ink in it.I had to rush out and buy another one ... now it works. Fuming at the cost and now, what do I do?",IPH,45,2024-02-21 00:00:00,2024-02-01 00:00:00,"Customer experience & expectation, Instant Ink related",-0.7845,pos,0.0
